Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65929668,2025-08-23 15:38:14,08/23/2025 06:22:42 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,,Street/Sidewalk,10452.0,48 WEST MOUNT EDEN AVENUE,WEST MOUNT EDEN AVENUE,INWOOD AVENUE,MACOMBS ROAD,INWOOD AVENUE,MACOMBS ROAD,ADDRESS,BRONX,WEST MOUNT EDEN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/23/2025 06:22:44 PM,04 BRONX,16.0,Precinct 44,,BRONX,"1,007,473","247,084",ONLINE,Unspecified,BRONX,,,,,,,,40.84483309342,-73.91606500464,POINT (-73.916065004636 40.844833093417)
67264436,2025-12-22 16:01:58,12/23/2025 04:52:21 PM,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,BROKEN OR MISSING,RESIDENTIAL BUILDING,10467.0,2434 BRONX PARK EAST,BRONX PARK EAST,,,,,ADDRESS,BRONX,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,12/23/2025 12:00:00 AM,11 BRONX,15.0,Precinct 49,2044240020.0,BRONX,"1,020,066","253,404",PHONE,Unspecified,BRONX,,,,,,,,40.86213749533,-73.87051635669,POINT (-73.87051635669 40.862137495332)
67206943,2025-12-16 17:56:06,12/17/2025 06:29:56 PM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,COLLAPSING OR FALLING,RESIDENTIAL BUILDING,10467.0,2265 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",12/17/2025 12:00:00 AM,11 BRONX,15.0,Precinct 49,2043410075.0,BRONX,"1,020,606","252,399",PHONE,Unspecified,BRONX,,,,,,,,40.85937686863,-73.86856957828,POINT (-73.868569578283 40.859376868634)
64291855,2025-03-08 09:17:15,03/08/2025 12:01:29 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10466.0,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/08/2025 12:02:06 PM,12 BRONX,11.0,Precinct 47,2048330028.0,BRONX,"1,022,911","264,242",MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649,-73.86016845296,POINT (-73.860168452965 40.891872416493)
66316039,2025-09-29 11:42:51,10/14/2025 03:28:52 PM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,MICE,RESIDENTIAL BUILDING,10461.0,1845 HOBART AVENUE,HOBART AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",10/14/2025 12:00:00 AM,10 BRONX,13.0,Precinct 45,2041940039.0,BRONX,"1,030,891","248,454",PHONE,Unspecified,BRONX,,,,,,,,40.84850069232,-73.83141584687,POINT (-73.831415846875 40.848500692318)
66203163,2025-09-19 22:47:23,11/18/2025 10:05:27 PM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Rodent Infestation,Restaurant/Bar/Deli/Bakery,10458.0,369 BEDFORD PARK BOULEVARD,BEDFORD PARK BOULEVARD,MARION AVENUE,DECATUR AVENUE,MARION AVENUE,DECATUR AVENUE,ADDRESS,BRONX,BEDFORD PARK BOULEVARD,,Closed,,The NYC Health Department has responded to your service request.  Restaurant inspection information can be found online at www.nyc.gov/health/abceats. This service request has been closed.,11/18/2025 10:05:30 PM,07 BRONX,11.0,Precinct 52,2032850065.0,BRONX,"1,016,234","255,590",MOBILE,Unspecified,BRONX,,,,,,,,40.86815211253,-73.88435952856,POINT (-73.884359528557 40.868152112534)
65331714,2025-06-22 01:35:49,06/22/2025 05:59:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10463.0,3873 ORLOFF AVENUE,ORLOFF AVENUE,CANNON PLACE,CHARLES HALLEY PLACE,CANNON PLACE,CHARLES HALLEY PLACE,ADDRESS,BRONX,ORLOFF AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/22/2025 05:59:45 AM,08 BRONX,11.0,Precinct 50,2032630098.0,BRONX,"1,012,964","261,425",ONLINE,Unspecified,BRONX,,,,,,,,40.88417861801,-73.89615742962,POINT (-73.896157429617 40.884178618006)
65220320,2025-06-10 17:38:28,06/11/2025 11:54:20 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,,3+ Family Apartment Building,10452.0,128 EAST CLARKE PLACE,EAST CLARKE PLACE,WALTON AVENUE,GRAND CONCOURSE,WALTON AVENUE,GRAND CONCOURSE,ADDRESS,BRONX,EAST CLARKE PLACE,,Closed,,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,06/10/2025 05:38:28 PM,04 BRONX,16.0,Precinct 44,2028390053.0,BRONX,"1,007,295","244,404",ONLINE,Unspecified,BRONX,,,,,,,,40.8374777448,-73.91671755968,POINT (-73.916717559675 40.837477744804)
64199856,2025-02-26 11:36:09,05/06/2025 07:41:12 PM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,ROACHES,RESIDENTIAL BUILDING,10458.0,2722 VALENTINE AVENUE,VALENTINE AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",05/06/2025 12:00:00 AM,07 BRONX,15.0,Precinct 52,2033000039.0,BRONX,"1,014,049","255,134",ONLINE,Unspecified,BRONX,,,,,,,,40.86690817892,-73.89226157404,POINT (-73.892261574036 40.866908178924)
63886322,2025-01-25 23:43:12,01/27/2025 02:19:39 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,10469.0,3448 WILSON AVENUE,WILSON AVENUE,EAST  214 STREET,EAST  215 STREET,EAST  214 STREET,EAST  215 STREET,ADDRESS,BRONX,WILSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/27/2025 02:19:47 AM,12 BRONX,12.0,Precinct 47,2047120001.0,BRONX,"1,025,410","258,516",MOBILE,Unspecified,BRONX,,,,,,,,40.87614505628,-73.851165117,POINT (-73.851165116998 40.876145056277)
